,Becker,PARIS,75002,01.81.30.33.94,adelaide.becker@server.fr,comptable
Adelaide,Benoit,MARSEILLE,13012,04.16.23.32.39,adelaide.benoit@server.fr,
Adelaide,Bertrand,,,02.78.55.93.77,adelaide.bertrand@server.fr,
Aime,Goncalves-Cordier,MARSEILLE,13007,04.88.53.11.40,aime.goncalves-cordier@server.fr,agriculteur
Aime,Jourdan,NANTES,44100,02.42.47.52.70,aime.jourdan@server.fr,
Aime,Petit,,,05.33.73.33.10,aime.petit@server.fr,
Aime,Ruiz,PARIS,75017,01.01.51.90.02,aime.ruiz@server.fr,technicien
,Carlier,TOULON,83000,04.60.26.37.13,aimee.carlier@server.fr,boulanger
Aimee,Marchal,LYON,69001,04.49.62.16.61,aimee.marchal@server.fr,cuisinier
Aime,Jourdan,NANTES,44100,02.42.47.52.70,aime.jourdan@server.fr,technicien
